Summary
-------

Measuring unpaused time only

elapsed  1032046 ms (17m 12s)
 dfhack    99362 ms (  9.63% of elapsed)


DFHack details
--------------

                       sort.location_selector     1501 ms (  1.71% of overlay,   0.15% of elapsed)
                        gui/design.dimensions     1161 ms (  1.32% of overlay,   0.11% of elapsed)
                              confirm.overlay     1044 ms (  1.19% of overlay,   0.10% of elapsed)
                         buildingplan.planner     1033 ms (  1.18% of overlay,   0.10% of elapsed)
                             gui/notify.panel      984 ms (  1.12% of overlay,   0.10% of elapsed)
                                    sort.info      924 ms (  1.05% of overlay,   0.09% of elapsed)
                          dig.warmdamptoolbar      859 ms (  0.98% of overlay,   0.08% of elapsed)
                                    sort.slab      723 ms (  0.82% of overlay,   0.07% of elapsed)
                                  sort.places      502 ms (  0.57% of overlay,   0.05% of elapsed)
                                   sort.world      393 ms (  0.45% of overlay,   0.04% of elapsed)
                              sort.candidates      359 ms (  0.41% of overlay,   0.03% of elapsed)
                          sort.elevate_barony      329 ms (  0.38% of overlay,   0.03% of elapsed)
                        gui/design.rightclick      310 ms (  0.35% of overlay,   0.03% of elapsed)
                           prioritize.enroute      171 ms (  0.20% of overlay,   0.02% of elapsed)
                        suspendmanager.toggle      123 ms (  0.14% of overlay,   0.01% of elapsed)
                     orders.skillrestrictions       62 ms (  0.07% of overlay,   0.01% of elapsed)
                        suspendmanager.status       62 ms (  0.07% of overlay,   0.01% of elapsed)
                       buildingplan.inspector       46 ms (  0.05% of overlay,   0.00% of elapsed)
                           hotkeys.embarkmenu       46 ms (  0.05% of overlay,   0.00% of elapsed)
                          zone.animal_actions       16 ms (  0.02% of overlay,   0.00% of elapsed)

                                    framework    43926 ms ( 50.12% of overlay,   4.26% of elapsed)
                                all subtimers    43719 ms ( 49.88% of overlay,   4.24% of elapsed)


ZScreen details
---------------

                                       notify      327 ms ( 52.32% of zscreen,   0.03% of elapsed)
                                 hotkeys/menu      188 ms ( 30.08% of zscreen,   0.02% of elapsed)
                                     launcher       63 ms ( 10.08% of zscreen,   0.01% of elapsed)
                                   MessageBox       47 ms (  7.52% of zscreen,   0.00% of elapsed)

                                    framework        0 ms (  0.00% of zscreen,   0.00% of elapsed)
                                all subtimers      625 ms (100.00% of zscreen,   0.06% of elapsed)
