Summary
-------

Measuring unpaused time only

elapsed  1262418 ms (21m 2s)
 dfhack   116886 ms (  9.26% of elapsed)


DFHack details
--------------

         control-panel/fix/empty-wheelbarrows       47 ms (  2.89% of lua timers,   0.00% of elapsed)
                 control-panel/fix/dead-units       16 ms (  0.98% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets       16 ms (  0.98% of lua timers,   0.00% of elapsed)

                                    framework      220 ms ( 13.54% of lua timers,   0.02% of elapsed)
                                all subtimers     1405 ms ( 86.46% of lua timers,   0.11% of elapsed)


Overlay details
---------------

                          gui/sitemap.toolbar     7744 ms (  7.73% of overlay,   0.61% of elapsed)
                                 hotkeys.menu     7052 ms (  7.04% of overlay,   0.56% of elapsed)
                       suspendmanager.overlay     5248 ms (  5.24% of overlay,   0.42% of elapsed)
                 gui/civ-alert.big_red_button     3937 ms (  3.93% of overlay,   0.31% of elapsed)
                              notes.map_notes     2845 ms (  2.84% of overlay,   0.23% of elapsed)
                              sort.candidates     2237 ms (  2.23% of overlay,   0.18% of elapsed)
                                 dig.warmdamp     1907 ms (  1.90% of overlay,   0.15% of elapsed)
                        gui/design.dimensions     1629 ms (  1.63% of overlay,   0.13% of elapsed)
                             gui/notify.panel     1264 ms (  1.26% of overlay,   0.10% of elapsed)
                                    sort.info     1208 ms (  1.21% of overlay,   0.10% of elapsed)
                              confirm.overlay     1201 ms (  1.20% of overlay,   0.10% of elapsed)
                                   sort.world      611 ms (  0.61% of overlay,   0.05% of elapsed)
                                    sort.slab      593 ms (  0.59% of overlay,   0.05% of elapsed)
                          sort.elevate_barony      575 ms (  0.57% of overlay,   0.05% of elapsed)
                       sort.location_selector      514 ms (  0.51% of overlay,   0.04% of elapsed)
                         buildingplan.planner      483 ms (  0.48% of overlay,   0.04% of elapsed)
                                  sort.places      434 ms (  0.43% of overlay,   0.03% of elapsed)
                       buildingplan.inspector      330 ms (  0.33% of overlay,   0.03% of elapsed)
                        gui/design.rightclick      270 ms (  0.27% of overlay,   0.02% of elapsed)
                        suspendmanager.status      269 ms (  0.27% of overlay,   0.02% of elapsed)
                     orders.skillrestrictions      262 ms (  0.26% of overlay,   0.02% of elapsed)
                        suspendmanager.toggle      189 ms (  0.19% of overlay,   0.01% of elapsed)
                           prioritize.enroute      187 ms (  0.19% of overlay,   0.01% of elapsed)
                             zone.pasturepond      140 ms (  0.14% of overlay,   0.01% of elapsed)
                          zone.animal_actions      122 ms (  0.12% of overlay,   0.01% of elapsed)
                          dig.warmdamptoolbar       63 ms (  0.06% of overlay,   0.00% of elapsed)
                  buildingplan.mechanism_free       30 ms (  0.03% of overlay,   0.00% of elapsed)
                      preserve-rooms.reserved       16 ms (  0.02% of overlay,   0.00% of elapsed)

                                    framework    58818 ms ( 58.71% of overlay,   4.66% of elapsed)
                                all subtimers    41360 ms ( 41.29% of overlay,   3.28% of elapsed)


ZScreen details
---------------

                                       design      344 ms (100.00% of zscreen,   0.03% of elapsed)

                                    framework        0 ms (  0.00% of zscreen,   0.00% of elapsed)
                                all subtimers      344 ms (100.00% of zscreen,   0.03% of elapsed)
